Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
336,2021/2/14,OKC,,MIL,W 114-109,240,45,95,0.474,30,59,0.508,15,36,0.417,9,16,0.563,114,45,97,0.464,32,59,0.542,13,38,0.342,6,9,0.667,109
337,2021/2/14,ORL,@,PHO,L 90-109,240,33,89,0.371,27,54,0.5,6,35,0.171,18,22,0.818,90,41,92,0.446,29,55,0.527,12,37,0.324,15,16,0.938,109
338,2021/2/14,PHO,,ORL,W 109-90,240,41,92,0.446,29,55,0.527,12,37,0.324,15,16,0.938,109,33,89,0.371,27,54,0.5,6,35,0.171,18,22,0.818,90
339,2021/2/14,MEM,@,SAC,W 124-110,240,50,94,0.532,41,73,0.562,9,21,0.429,15,19,0.789,124,41,82,0.5,33,49,0.673,8,33,0.242,20,26,0.769,110
340,2021/2/14,SAC,,MEM,L 110-124,240,41,82,0.5,33,49,0.673,8,33,0.242,20,26,0.769,110,50,94,0.532,41,73,0.562,9,21,0.429,15,19,0.789,124
341,2021/2/14,MIN,@,TOR,W 116-112,240,43,82,0.524,27,43,0.628,16,39,0.41,14,19,0.737,116,38,91,0.418,28,58,0.483,10,33,0.303,26,31,0.839,112
342,2021/2/14,TOR,,MIN,L 112-116,240,38,91,0.418,28,58,0.483,10,33,0.303,26,31,0.839,112,43,82,0.524,27,43,0.628,16,39,0.41,14,19,0.737,116
343,2021/2/14,BOS,@,WAS,L 91-104,240,32,90,0.356,23,55,0.418,9,35,0.257,18,30,0.6,91,33,83,0.398,26,53,0.491,7,30,0.233,31,36,0.861,104
344,2021/2/14,WAS,,BOS,W 104-91,240,33,83,0.398,26,53,0.491,7,30,0.233,31,36,0.861,104,32,90,0.356,23,55,0.418,9,35,0.257,18,30,0.6,91
345,2021/2/13,ATL,,IND,L 113-125,240,43,90,0.478,34,59,0.576,9,31,0.29,18,23,0.783,113,45,89,0.506,33,58,0.569,12,31,0.387,23,27,0.852,125
346,2021/2/13,IND,@,ATL,W 125-113,240,45,89,0.506,33,58,0.569,12,31,0.387,23,27,0.852,125,43,90,0.478,34,59,0.576,9,31,0.29,18,23,0.783,113
347,2021/2/13,BRK,@,GSW,W 134-117,240,50,93,0.538,34,54,0.63,16,39,0.41,18,20,0.9,134,44,90,0.489,35,56,0.625,9,34,0.265,20,25,0.8,117
348,2021/2/13,GSW,,BRK,L 117-134,240,44,90,0.489,35,56,0.625,9,34,0.265,20,25,0.8,117,50,93,0.538,34,54,0.63,16,39,0.41,18,20,0.9,134
349,2021/2/13,HOU,@,NYK,L 99-121,240,33,88,0.375,25,45,0.556,8,43,0.186,25,30,0.833,99,45,86,0.523,33,58,0.569,12,28,0.429,19,23,0.826,121
350,2021/2/13,NYK,,HOU,W 121-99,240,45,86,0.523,33,58,0.569,12,28,0.429,19,23,0.826,121,33,88,0.375,25,45,0.556,8,43,0.186,25,30,0.833,99
351,2021/2/13,PHI,@,PHO,L 111-120,240,38,73,0.521,31,56,0.554,7,17,0.412,28,33,0.848,111,48,79,0.608,38,54,0.704,10,25,0.4,14,17,0.824,120
352,2021/2/13,PHO,,PHI,W 120-111,240,48,79,0.608,38,54,0.704,10,25,0.4,14,17,0.824,120,38,73,0.521,31,56,0.554,7,17,0.412,28,33,0.848,111
353,2021/2/13,MIA,@,UTA,L 94-112,240,35,86,0.407,23,50,0.46,12,36,0.333,12,17,0.706,94,39,85,0.459,27,39,0.692,12,46,0.261,22,29,0.759,112
354,2021/2/13,UTA,,MIA,W 112-94,240,39,85,0.459,27,39,0.692,12,46,0.261,22,29,0.759,112,35,86,0.407,23,50,0.46,12,36,0.333,12,17,0.706,94
355,2021/2/12,ATL,,SAS,L 114-125,240,39,90,0.433,28,58,0.483,11,32,0.344,25,33,0.758,114,45,85,0.529,33,54,0.611,12,31,0.387,23,28,0.821,125
356,2021/2/12,SAS,@,ATL,W 125-114,240,45,85,0.529,33,54,0.611,12,31,0.387,23,28,0.821,125,39,90,0.433,28,58,0.483,11,32,0.344,25,33,0.758,114
357,2021/2/12,BOS,,DET,L 102-108,240,36,82,0.439,28,55,0.509,8,27,0.296,22,30,0.733,102,34,79,0.43,19,41,0.463,15,38,0.395,25,30,0.833,108
358,2021/2/12,DET,@,BOS,W 108-102,240,34,79,0.43,19,41,0.463,15,38,0.395,25,30,0.833,108,36,82,0.439,28,55,0.509,8,27,0.296,22,30,0.733,102
359,2021/2/12,CHI,,LAC,L 106-125,240,40,85,0.471,28,53,0.528,12,32,0.375,14,15,0.933,106,50,86,0.581,37,56,0.661,13,30,0.433,12,15,0.8,125
360,2021/2/12,LAC,@,CHI,W 125-106,240,50,86,0.581,37,56,0.661,13,30,0.433,12,15,0.8,125,40,85,0.471,28,53,0.528,12,32,0.375,14,15,0.933,106
361,2021/2/12,CHO,,MIN,W 120-114,240,44,90,0.489,31,54,0.574,13,36,0.361,19,19,1,120,45,99,0.455,29,58,0.5,16,41,0.39,8,14,0.571,114
362,2021/2/12,MIN,@,CHO,L 114-120,240,45,99,0.455,29,58,0.5,16,41,0.39,8,14,0.571,114,44,90,0.489,31,54,0.574,13,36,0.361,19,19,1,120
363,2021/2/12,DAL,,NOP,W 143-130,240,51,88,0.58,26,43,0.605,25,45,0.556,16,21,0.762,143,48,90,0.533,31,53,0.585,17,37,0.459,17,23,0.739,130
364,2021/2/12,NOP,@,DAL,L 130-143,240,48,90,0.533,31,53,0.585,17,37,0.459,17,23,0.739,130,51,88,0.58,26,43,0.605,25,45,0.556,16,21,0.762,143
365,2021/2/12,DEN,,OKC,W 97-95,240,40,87,0.46,30,47,0.638,10,40,0.25,7,10,0.7,97,36,90,0.4,26,58,0.448,10,32,0.313,13,17,0.765,95
366,2021/2/12,OKC,@,DEN,L 95-97,240,36,90,0.4,26,58,0.448,10,32,0.313,13,17,0.765,95,40,87,0.46,30,47,0.638,10,40,0.25,7,10,0.7,97
367,2021/2/12,LAL,,MEM,W 115-105,240,43,85,0.506,37,55,0.673,6,30,0.2,23,33,0.697,115,39,80,0.488,27,51,0.529,12,29,0.414,15,19,0.789,105
368,2021/2/12,MEM,@,LAL,L 105-115,240,39,80,0.488,27,51,0.529,12,29,0.414,15,19,0.789,105,43,85,0.506,37,55,0.673,6,30,0.2,23,33,0.697,115
369,2021/2/12,CLE,@,POR,L 110-129,240,38,87,0.437,30,64,0.469,8,23,0.348,26,37,0.703,110,43,83,0.518,30,48,0.625,13,35,0.371,30,33,0.909,129
370,2021/2/12,POR,,CLE,W 129-110,240,43,83,0.518,30,48,0.625,13,35,0.371,30,33,0.909,129,38,87,0.437,30,64,0.469,8,23,0.348,26,37,0.703,110
371,2021/2/12,ORL,@,SAC,W 123-112,240,46,91,0.505,31,57,0.544,15,34,0.441,16,20,0.8,123,43,83,0.518,31,50,0.62,12,33,0.364,14,19,0.737,112
372,2021/2/12,SAC,,ORL,L 112-123,240,43,83,0.518,31,50,0.62,12,33,0.364,14,19,0.737,112,46,91,0.505,31,57,0.544,15,34,0.441,16,20,0.8,123
373,2021/2/12,MIL,@,UTA,L 115-129,240,42,92,0.457,30,59,0.508,12,33,0.364,19,27,0.704,115,43,82,0.524,29,44,0.659,14,38,0.368,29,34,0.853,129
374,2021/2/12,UTA,,MIL,W 129-115,240,43,82,0.524,29,44,0.659,14,38,0.368,29,34,0.853,129,42,92,0.457,30,59,0.508,12,33,0.364,19,27,0.704,115
375,2021/2/12,NYK,@,WAS,W 109-91,240,44,98,0.449,38,74,0.514,6,24,0.25,15,22,0.682,109,34,89,0.382,25,55,0.455,9,34,0.265,14,20,0.7,91
376,2021/2/12,WAS,,NYK,L 91-109,240,34,89,0.382,25,55,0.455,9,34,0.265,14,20,0.7,91,44,98,0.449,38,74,0.514,6,24,0.25,15,22,0.682,109
377,2021/2/11,BOS,,TOR,W 120-106,240,39,86,0.453,19,47,0.404,20,39,0.513,22,28,0.786,120,41,83,0.494,32,55,0.582,9,28,0.321,15,19,0.789,106
378,2021/2/11,TOR,@,BOS,L 106-120,240,41,83,0.494,32,55,0.582,9,28,0.321,15,19,0.789,106,39,86,0.453,19,47,0.404,20,39,0.513,22,28,0.786,120
379,2021/2/11,DET,,IND,L 95-111,240,38,85,0.447,33,57,0.579,5,28,0.179,14,19,0.737,95,44,86,0.512,30,55,0.545,14,31,0.452,9,10,0.9,111
380,2021/2/11,IND,@,DET,W 111-95,240,44,86,0.512,30,55,0.545,14,31,0.452,9,10,0.9,111,38,85,0.447,33,57,0.579,5,28,0.179,14,19,0.737,95
381,2021/2/11,GSW,,ORL,W 111-105,240,41,88,0.466,21,38,0.553,20,50,0.4,9,12,0.75,111,38,97,0.392,23,64,0.359,15,33,0.455,14,18,0.778,105
382,2021/2/11,ORL,@,GSW,L 105-111,240,38,97,0.392,23,64,0.359,15,33,0.455,14,18,0.778,105,41,88,0.466,21,38,0.553,20,50,0.4,9,12,0.75,111
383,2021/2/11,HOU,,MIA,L 94-101,240,32,83,0.386,17,33,0.515,15,50,0.3,15,20,0.75,94,34,79,0.43,19,37,0.514,15,42,0.357,18,20,0.9,101
384,2021/2/11,MIA,@,HOU,W 101-94,240,34,79,0.43,19,37,0.514,15,42,0.357,18,20,0.9,101,32,83,0.386,17,33,0.515,15,50,0.3,15,20,0.75,94
385,2021/2/11,PHI,@,POR,L 114-118,240,42,86,0.488,36,59,0.61,6,27,0.222,24,29,0.828,114,40,93,0.43,23,55,0.418,17,38,0.447,21,23,0.913,118
386,2021/2/11,POR,,PHI,W 118-114,240,40,93,0.43,23,55,0.418,17,38,0.447,21,23,0.913,118,42,86,0.488,36,59,0.61,6,27,0.222,24,29,0.828,114
387,2021/2/10,BRK,,IND,W 104-94,240,32,76,0.421,23,45,0.511,9,31,0.29,31,35,0.886,104,36,92,0.391,21,54,0.389,15,38,0.395,7,11,0.636,94
388,2021/2/10,IND,@,BRK,L 94-104,240,36,92,0.391,21,54,0.389,15,38,0.395,7,11,0.636,94,32,76,0.421,23,45,0.511,9,31,0.29,31,35,0.886,104
389,2021/2/10,CHI,,NOP,W 129-116,240,48,81,0.593,23,34,0.676,25,47,0.532,8,11,0.727,129,41,81,0.506,28,45,0.622,13,36,0.361,21,26,0.808,116
390,2021/2/10,NOP,@,CHI,L 116-129,240,41,81,0.506,28,45,0.622,13,36,0.361,21,26,0.808,116,48,81,0.593,23,34,0.676,25,47,0.532,8,11,0.727,129
391,2021/2/10,ATL,@,DAL,L 117-118,240,40,88,0.455,26,49,0.531,14,39,0.359,23,28,0.821,117,43,84,0.512,29,49,0.592,14,35,0.4,18,20,0.9,118
392,2021/2/10,DAL,,ATL,W 118-117,240,43,84,0.512,29,49,0.592,14,35,0.4,18,20,0.9,118,40,88,0.455,26,49,0.531,14,39,0.359,23,28,0.821,117
393,2021/2/10,CLE,@,DEN,L 95-133,240,36,94,0.383,28,57,0.491,8,37,0.216,15,20,0.75,95,51,85,0.6,35,49,0.714,16,36,0.444,15,21,0.714,133
394,2021/2/10,DEN,,CLE,W 133-95,240,51,85,0.6,35,49,0.714,16,36,0.444,15,21,0.714,133,36,94,0.383,28,57,0.491,8,37,0.216,15,20,0.75,95
395,2021/2/10,LAL,,OKC,W 114-113 (OT),265,42,89,0.472,32,54,0.593,10,35,0.286,20,24,0.833,114,47,100,0.47,40,69,0.58,7,31,0.226,12,14,0.857,113
396,2021/2/10,OKC,@,LAL,L 113-114 (OT),265,47,100,0.47,40,69,0.58,7,31,0.226,12,14,0.857,113,42,89,0.472,32,54,0.593,10,35,0.286,20,24,0.833,114
397,2021/2/10,CHO,@,MEM,L 114-130,240,45,82,0.549,31,53,0.585,14,29,0.483,10,12,0.833,114,47,94,0.5,24,45,0.533,23,49,0.469,13,18,0.722,130
398,2021/2/10,MEM,,CHO,W 130-114,240,47,94,0.5,24,45,0.533,23,49,0.469,13,18,0.722,130,45,82,0.549,31,53,0.585,14,29,0.483,10,12,0.833,114
399,2021/2/10,LAC,@,MIN,W 119-112,240,41,82,0.5,29,59,0.492,12,23,0.522,25,29,0.862,119,41,95,0.432,26,54,0.481,15,41,0.366,15,19,0.789,112
400,2021/2/10,MIN,,LAC,L 112-119,240,41,95,0.432,26,54,0.481,15,41,0.366,15,19,0.789,112,41,82,0.5,29,59,0.492,12,23,0.522,25,29,0.862,119
