,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
255,-0.31208967404555266,-0.8762515478897417,-0.5420263977812891,0.6230496309327894,0.044162748,1
1075,-0.46061580742160657,-0.05336846108643299,1.0409601697030897,-0.49807270585024277,-0.1111111109999999,0
185,-2.29573869980129,-0.619943701180514,2.0362048699516087,-0.8664308123555073,-0.0469924819999999,1
658,-0.3417949007207602,0.28387870563623213,-1.5448675832312566,-0.06753041339127318,-0.0921985819999999,0
773,-0.5497314874472388,0.01408097225810041,-0.4845163237865907,-0.3731757521896395,-0.2706349209999999,0
433,-0.3252919970123097,-0.6064538145116081,0.2534473002570751,0.03318397984634311,0.044126242,0
854,1.1533681752648417,-0.09383812109315265,-0.21573467294852922,-0.02748042217048549,0.06043956,0
860,0.5394601573104894,0.5806562123521795,0.36755298987332347,-0.020011379819118318,-0.038461539,1
554,-1.1999458935601854,-1.2269886012813165,-0.9693016938912448,-0.18908648084365184,-0.181818182,1
272,0.1730956949828898,-0.10732800776206049,1.439122565735103,-0.6325976459025132,0.2463768119999999,1
229,-0.43091058074639244,0.24340904562951246,-0.4282432888649355,0.4492488065488715,-0.151616499,0
394,-0.9358994342249788,-1.968932368071182,0.3425443520610555,-1.317677859978051,-0.117276167,1
918,1.0147437841138582,1.241660659128608,-0.9156741078791999,0.9177937325853615,-0.235294118,1
33,3.097410232120305,2.1724628392831673,-0.8575260731059963,2.6114432279817557,-0.012981744,0
267,0.3183212476172535,0.6481056456967128,0.5617911585319634,0.17144953318317133,-0.175485345,0
726,0.6417781603028819,-0.957190867903181,1.354692852214407,-0.7024801537198909,-0.205128205,1
540,0.5955700299192206,0.836964059061407,0.07366765522019832,0.4130763914919484,0.0511111109999999,0
738,-0.21307225179484685,-2.0228919147468094,-0.32001173453479087,-0.7161439796217146,0.15625,1
181,-0.32199141627062294,0.4322674589942049,-0.8597121328292832,-0.7959263834957808,-0.1256756759999998,1
348,-0.6784541363731521,-0.84927177455193,-0.29923552726825525,-0.6235692574300363,-0.1472999040000001,1
534,-2.7644211651212856,-3.4393300149820107,1.8191124411339314,-2.5149870482057968,0.113636364,0
750,-0.43091058074639577,-1.1460492812678753,0.8535912396713022,-1.1554651032300396,-0.083333333,1
237,-0.6784541363731521,-0.7548425678695808,-1.4891849859830222,0.42498608449189246,0.0412912919999999,1
818,1.3778076656997675,-0.3096763077956607,0.286876155640643,-0.11224117469555871,0.135775862,0
907,0.651679902527952,-0.6469234745183278,0.8913058091197654,0.851380951043679,-0.016563147,1
627,0.8629170699961143,0.98535281241938,-0.13076636485899532,0.860274407339814,0.163274745,0
1100,0.8629170699961143,-0.10732800776206049,-0.2089705607380494,0.3206325400707039,0.333333334,0
230,-0.4441129037131528,-1.645175088017421,0.8011560500416283,-0.2985604062478435,0.1547254539999999,1
538,-0.23947689772836753,-0.3906156278091019,2.449604879491938,-1.1984663778787497,0.237692308,1
90,0.20940208314148073,-0.5255144944981669,-1.0012126924002545,0.7073447096682196,-0.285737545,1
1045,0.30181834390880313,0.98535281241938,-0.21491670057800946,1.245164452009821,-0.2999999999999999,1
