,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2P%_AVG,3P_AVG,3PA_AVG,FT_AVG,PTS_AVG,FG.1_AVG,FG%.1_AVG,2P%.1_AVG,3P.1_AVG,3P%.1_AVG,FT%.1_AVG,PTS.1_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,FT_players_AVG,FT%_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG,y
648,-2.700000000000003,2.0999999999999943,-0.0418999999999999,-1.1999999999999993,-0.0437,-1.5,0.1999999999999957,6.300000000000002,-0.5999999999999943,0.0,-0.0146,-0.0181,-0.7000000000000011,-0.0242,0.0326,3.700000000000003,-0.511368053,-0.0284686319999999,-0.2668055550000001,-0.3661805550000001,0.622993055,0.092717035,-0.0589583329999996,-0.2758750000000001,-0.8595069450000001,0.060847222,-0.157763888,-0.0858125,-0.8745763899999996,-1.860777778,-0.0215997079999999,-0.03600309,0.047346361,-0.585393056,-0.1604361100000009,-2.394131250000001,0.0613840280000002,-0.4992798610000005,-0.5498881999999998,0.0215340300000015,-6.452083399999977,-3.806576399999983,-0.25581875,-0.6571153999999999,-2.1068749999999987,0
368,0.1000000000000014,1.7999999999999972,-0.0079,4.199999999999998,-0.0151999999999999,-4.1,-7.399999999999999,-3.6,-7.5,-1.2999999999999972,-0.0187999999999999,-0.0108,0.9000000000000004,-0.017,0.1533999999999999,-2.0999999999999943,0.4981319400000004,0.0232538679999999,-0.4599236109999998,-0.9412708340000008,-0.4424722229999998,-0.081220479,0.4521319450000001,0.4893194439999995,-0.5059097220000002,-0.0872708339999999,-0.2084305549999999,0.1337986109999999,-0.7201458299999999,-4.434409722,-0.0068835349999999,-0.082771861,-0.051037729,-0.4468402779999998,0.5599277760000003,-2.69706875,-0.0093083339999997,-0.5019979170000002,0.6395791699999993,0.6247895900000024,-3.5294444000000174,-0.295194400000014,-0.211609723,-0.5308234180000002,-1.0324375000000003,1
909,-0.5,1.9000000000000057,-0.0161,0.8000000000000007,0.0082999999999999,-1.3000000000000007,0.8000000000000043,1.1000000000000014,-1.2000000000000028,-0.1000000000000014,0.0009,0.0234999999999999,3.5,0.0125,-0.0331,0.5,1.5084930500000002,-0.023418722,0.0620208329999998,0.5460486109999998,0.3867916669999998,-0.0158099999999999,-0.0435624999999992,-0.0993680549999993,-0.6689513890000001,0.348430555,0.1391875,-0.1701388889999999,1.72311805,0.1119791660000004,-0.0180784099999999,0.017435444,-0.002320181,-0.8218430560000005,-1.0257104200000011,-3.2507402800000005,0.3694374999999999,0.5822784720000003,-1.3439368060000003,0.0057534700000019,-3.625361099999978,-1.4713749999999948,0.173094445,-0.175496147,1.44241667,1
1049,3.899999999999999,9.700000000000005,-0.0042,0.3000000000000007,-0.0182999999999999,3.6,7.299999999999998,-0.9000000000000021,10.5,-2.8999999999999986,-0.0592,-0.0515999999999999,2.9000000000000004,-0.0315,0.0615999999999999,1.5,1.3008472199999996,-0.004206924,0.408805555,0.7979861109999997,-0.068847222,0.000417361,0.3055486109999998,0.8300000000000001,0.5608194440000003,-0.0691805559999999,0.185993055,-0.373055556,1.293388890000001,4.833416667,-0.000627597,0.0538622289999999,-0.010018264,1.3443416659999992,0.3808444499999997,1.6924909700000017,-0.1262611109999998,0.7590854169999999,-3.28990556,0.2162000000000006,8.866597200000015,-0.4869583999999776,0.8026645840000001,0.8545191540000001,2.801020829999999,0
792,-2.9000000000000057,-3.0999999999999943,-0.0192999999999999,-3.3000000000000007,-0.0228999999999999,0.4000000000000004,1.1000000000000014,5.700000000000001,0.2999999999999972,2.6000000000000014,0.0560999999999999,0.0636999999999999,-0.7999999999999989,0.0216,0.0464,5.700000000000002,0.2392569500000015,-0.0139767429999999,0.0164027780000002,0.2046736109999996,0.701875,0.126628145,-0.13775,0.102506945,-0.0627430549999998,-0.217694444,-0.350298611,0.0383124999999999,0.4257222200000008,-3.783465278,0.007142882,0.0466860839999999,0.061487389,0.1572368060000002,-0.0129201389999984,0.6424020800000001,-0.465206945,-1.3027027779999996,0.9554541699999994,0.0014583300000019,0.8700139000000178,8.307625000000002,0.515657639,-0.0739543949999999,-0.1025069400000013,1
681,-0.1000000000000014,-2.0,0.0111999999999999,-3.899999999999999,-0.0468,3.799999999999999,1.3999999999999986,1.8999999999999984,5.5,2.199999999999996,0.0111999999999999,-0.0302,0.8000000000000007,0.0551999999999999,0.0413,4.399999999999992,1.7439583340000002,0.0148926739999999,0.8388958330000003,1.1396388889999995,0.6313680559999999,0.0534055559999999,0.286944445,0.6139930550000008,0.795423612,0.1110208330000001,0.085326389,0.375444444,3.3495694500000006,0.5790277770000001,0.035611806,0.023632048,0.024989778,0.945946528,0.1586930560000006,1.4259638800000012,-0.0592368059999999,-0.2878055559999999,0.9655472199999996,0.206130550000001,7.859375,8.176513900000018,1.244253472,-0.1775824079999997,4.955333339999998,0
863,1.3999999999999986,5.099999999999994,-0.0073,2.3000000000000007,-0.0066,-0.9000000000000004,-0.1000000000000014,-2.1000000000000014,-0.1999999999999886,-2.5,-0.0192999999999999,-0.0217999999999999,3.200000000000001,0.0267999999999999,0.0616000000000001,0.2999999999999972,0.1446874999999998,-0.023400743,-0.1825694449999999,-0.1394513890000004,-0.3392222220000001,-0.021929181,0.3569027779999998,0.6920000000000002,-0.1707986109999999,-0.2190555559999999,-0.2632430550000001,-0.1303263889999997,-0.7783888899999987,0.0006527779999996,-0.035349236,-0.020930327,-0.059994944,1.1088513889999994,0.8311895789999983,-1.48928819,-0.3736937500000001,-0.337726389,-1.3907770799999994,-0.4169020799999998,-2.37722909999998,-0.4842222999999989,1.592082639,0.8611151320000001,-0.7394861100000014,0
252,-2.8000000000000043,-8.399999999999991,0.0133,-4.199999999999998,0.0232,1.4000000000000004,1.8999999999999984,5.4,1.2000000000000028,-2.3999999999999986,-0.0145,-0.0254999999999999,-0.8000000000000007,0.0017,0.1206999999999999,0.2000000000000028,-1.2477638910000015,0.004808986,0.1416736110000001,0.1790763890000004,0.6307291660000001,0.1134524240000001,0.0318125,-0.0045833339999994,0.2316944440000004,-0.0441111109999999,0.137125,0.5528958339999999,-0.21608333,0.3212499999999996,0.035574938,0.053805944,0.0826112919999999,0.5755263890000006,0.6269944469999995,1.8419944400000008,-0.040121528,0.4110618059999997,2.8847701399999988,-0.00571111,5.577326300000038,1.7464930999999808,-0.777077778,-0.5019175650000001,0.10404166,0
290,0.2000000000000028,2.200000000000003,-0.0075,1.099999999999998,0.0003999999999999,-0.8999999999999986,0.3999999999999986,-3.200000000000001,-3.700000000000003,-0.2999999999999972,-0.0116999999999999,0.0014,3.5,0.0088,0.0583,-4.5,-0.0831180499999995,0.0008035899999999,-0.1714374999999999,-0.3001875000000007,-0.2693611110000002,-0.0990700759999999,0.2781874999999996,0.3436944450000005,-0.0742152769999999,0.0238125,-0.0611041659999999,-0.2781458339999998,-0.534423610000001,1.087076389,-0.0195593059999998,0.0287363469999999,-0.050361521,-0.1244027770000002,0.3429743060000003,0.1719854200000004,0.164939584,-0.1197513889999999,-2.4114055600000004,0.4210631900000017,-0.2175277999999849,-0.1875278000000122,-0.034195833,0.6957397099999998,-0.302236109999999,0
376,-0.2999999999999972,3.9000000000000057,-0.0256,1.3000000000000007,-0.0121999999999999,-1.6000000000000014,0.6999999999999993,-3.8000000000000007,-6.0,3.200000000000003,0.0283999999999999,0.0297999999999999,5.300000000000002,0.0371,0.0055999999999999,9.799999999999995,-0.1534722299999984,-0.020171451,-0.2399930559999999,-0.1033680559999998,-0.8414027779999995,-0.02292932,-0.5856805550000002,-0.876229167,-0.3634583329999996,-0.2066249999999999,-0.388069445,-0.5768611119999998,-1.6363402800000006,-10.411527778,-0.046711826,-0.063660659,-0.0405445419999999,-0.8920118049999992,-1.1475180579999993,-0.4685638900000004,-0.1833409720000001,-0.6766604170000001,-3.01853472,-0.2101708299999991,-4.9835972000000055,10.91384029999999,-1.325872222,0.5618448869999999,-3.470722219999999,0
