,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1077,2020/12/26,SAC,PHO,W 106-103,240,39,86,0.453,34,63,0.54,5,23,0.217,23,33,0.697,106,41,98,0.418,30,54,0.556,11,44,0.25,10,13,0.769,103
1078,2020/12/26,SAS,TOR,W 119-114,240,47,100,0.47,33,66,0.5,14,34,0.412,11,16,0.688,119,44,96,0.458,29,55,0.527,15,41,0.366,11,15,0.733,114
1079,2020/12/26,TOR,SAS,L 114-119,240,44,96,0.458,29,55,0.527,15,41,0.366,11,15,0.733,114,47,100,0.47,33,66,0.5,14,34,0.412,11,16,0.688,119
1080,2020/12/26,MIN,UTA,W 116-111,240,45,101,0.446,32,72,0.444,13,29,0.448,13,18,0.722,116,36,94,0.383,26,60,0.433,10,34,0.294,29,37,0.784,111
1081,2020/12/26,UTA,MIN,L 111-116,240,36,94,0.383,26,60,0.433,10,34,0.294,29,37,0.784,111,45,101,0.446,32,72,0.444,13,29,0.448,13,18,0.722,116
1082,2020/12/26,ORL,WAS,W 130-120,240,48,95,0.505,37,64,0.578,11,31,0.355,23,29,0.793,130,46,95,0.484,33,58,0.569,13,37,0.351,15,28,0.536,120
1083,2020/12/26,WAS,ORL,L 120-130,240,46,95,0.484,33,58,0.569,13,37,0.351,15,28,0.536,120,48,95,0.505,37,64,0.578,11,31,0.355,23,29,0.793,130
1084,2020/12/25,BOS,BRK,L 95-123,240,37,98,0.378,29,71,0.408,8,27,0.296,13,19,0.684,95,41,76,0.539,26,47,0.553,15,29,0.517,26,31,0.839,123
1085,2020/12/25,BRK,BOS,W 123-95,240,41,76,0.539,26,47,0.553,15,29,0.517,26,31,0.839,123,37,98,0.378,29,71,0.408,8,27,0.296,13,19,0.684,95
1086,2020/12/25,DEN,LAC,L 108-121,240,37,81,0.457,26,45,0.578,11,36,0.306,23,31,0.742,108,41,74,0.554,22,36,0.611,19,38,0.5,20,24,0.833,121
1087,2020/12/25,LAC,DEN,W 121-108,240,41,74,0.554,22,36,0.611,19,38,0.5,20,24,0.833,121,37,81,0.457,26,45,0.578,11,36,0.306,23,31,0.742,108
1088,2020/12/25,DAL,LAL,L 115-138,240,41,83,0.494,28,51,0.549,13,32,0.406,20,26,0.769,115,51,91,0.56,32,52,0.615,19,39,0.487,17,24,0.708,138
1089,2020/12/25,LAL,DAL,W 138-115,240,51,91,0.56,32,52,0.615,19,39,0.487,17,24,0.708,138,41,83,0.494,28,51,0.549,13,32,0.406,20,26,0.769,115
1090,2020/12/25,MIA,NOP,W 111-98,240,38,75,0.507,22,38,0.579,16,37,0.432,19,23,0.826,111,31,78,0.397,21,43,0.488,10,35,0.286,26,33,0.788,98
1091,2020/12/25,NOP,MIA,L 98-111,240,31,78,0.397,21,43,0.488,10,35,0.286,26,33,0.788,98,38,75,0.507,22,38,0.579,16,37,0.432,19,23,0.826,111
1092,2020/12/25,GSW,MIL,L 99-138,240,34,99,0.343,24,54,0.444,10,45,0.222,21,25,0.84,99,50,90,0.556,30,54,0.556,20,36,0.556,18,26,0.692,138
1093,2020/12/25,MIL,GSW,W 138-99,240,50,90,0.556,30,54,0.556,20,36,0.556,18,26,0.692,138,34,99,0.343,24,54,0.444,10,45,0.222,21,25,0.84,99
