,FG_AVG,FG%_AVG,2P_AVG,2P%_AVG,3P_AVG,3PA_AVG,FT_AVG,PTS_AVG,FG.1_AVG,FG%.1_AVG,2P.1_AVG,2P%.1_AVG,3P.1_AVG,3P%.1_AVG,FTA.1_AVG,FT%.1_AVG,PTS.1_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,FT_players_AVG,FT%_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PF_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,A/T_AVG,FG_AVG_AVG,y
678,-0.5,-0.008500000000000008,2.1000000000000014,-0.0141,-2.6,-4.200000000000003,0.3000000000000007,-3.299999999999997,-2.199999999999996,-0.014900000000000024,0.09999999999999787,-0.016100000000000003,-2.3000000000000007,-0.01980000000000004,-1.9000000000000021,-0.029599999999999963,-8.5,0.02705911199999994,-0.377479167,-0.920090277,-0.028999999999999918,-0.0032327570000000305,-0.15880555499999982,-0.1539513889999995,-0.3882986119999998,0.3837291669999999,0.13906944499999996,0.19259722200000007,-0.10486805499999984,-1.1239513900000002,3.981104166,0.010184472000000055,-0.058471694000000025,0.015289568999999947,0.8861166670000005,0.6776993099999995,-1.572209029999998,0.759281944,0.4635930559999999,2.311184730000001,0.2163229100000024,-2.377048600000009,-8.323736100000005,-0.6905651420000001,-1.1434027799999988,1
201,-0.8999999999999986,0.031799999999999995,-4.800000000000002,0.026699999999999943,3.9,4.0,1.3000000000000007,3.4000000000000057,-2.5999999999999943,-0.038299999999999945,-0.8999999999999986,-0.021500000000000075,-1.7000000000000008,-0.07340000000000002,0.6000000000000014,0.0192,-6.299999999999998,0.025690465,0.3791736109999999,0.3062708330000001,0.05370138900000021,-0.0004897850000000203,-0.11652777799999955,-0.469881944,0.03288194399999966,0.061076389000000016,0.07504166700000002,0.4569375,-0.219555556,-0.5962499999999995,4.837736111,0.05308126399999991,0.07615695099999997,0.09092420800000003,-0.17948055599999968,0.3104687500000001,1.71585417,0.1862652779999998,0.32378333400000003,3.7633784699999993,-0.00164166999999793,1.5721041999999985,-6.778277699999991,-0.411102635,-0.8971319500000021,0
326,-2.0,-0.023299999999999987,3.3000000000000007,-0.03180000000000005,-5.300000000000002,-9.300000000000004,1.0,-8.299999999999997,-0.5999999999999943,-0.02360000000000001,-0.1999999999999993,-0.04640000000000005,-0.4000000000000004,0.013000000000000013,-4.399999999999999,-0.05479999999999996,-6.299999999999998,0.01769381200000003,-0.7192152780000001,-1.266291667,-0.06578472200000007,-0.08616257000000005,-0.20892361100000034,-0.255826388,-0.2829375000000001,0.03440277700000005,0.24797916699999994,0.16877777700000007,-0.6188125000000002,-1.9387638900000008,-0.8372638889999999,-0.016284354000000056,-0.08567586100000002,-0.021075834000000016,0.11713680500000034,-0.2324048699999999,0.5456000000000003,0.12694166699999987,0.5808951389999999,2.610553470000001,-0.009307639999999395,-10.601617999999988,-7.957409700000013,-0.3395606260000004,-2.1951458399999986,1
66,0.5,-0.016000000000000014,-1.9000000000000021,-0.009299999999999977,2.3999999999999986,6.399999999999999,-4.600000000000001,-1.1999999999999886,2.4000000000000057,0.002599999999999991,1.6999999999999993,-0.016800000000000037,0.6999999999999993,0.014300000000000037,-1.6999999999999993,0.002800000000000025,4.400000000000006,-0.011483374999999962,0.28179166600000016,0.6072013890000001,-0.5837430560000001,-0.04093963899999997,0.556,0.7051527780000004,0.3363472220000001,-0.5500416659999998,-0.27474305600000004,-0.04598611099999994,-0.3176041670000005,-0.44529861,-2.311180556,-0.004573805000000042,0.04376127800000007,-0.08249085400000003,0.2918083340000006,0.8200138930000005,1.6762604199999984,-0.8683395829999999,-0.9097777780000004,-0.1628215199999996,-0.002521520000001942,-2.66599309999998,3.3065693999999866,0.820148763,-0.2285833299999993,0
2,2.3999999999999986,0.01499999999999996,1.7000000000000028,-0.0014999999999999456,0.7000000000000011,-0.6000000000000014,-2.3000000000000007,3.200000000000003,3.1999999999999957,0.0388,3.6000000000000014,0.04610000000000003,-0.4000000000000004,0.020899999999999967,2.8999999999999986,0.05630000000000001,9.599999999999994,0.028741750000000014,0.10968749999999994,-0.06522222300000012,-0.2267083330000001,-0.06591507600000003,-0.21873611099999926,-0.1899861119999997,0.33772916699999955,-0.09688194400000004,0.13258333300000005,0.31460416599999985,0.26132638900000016,0.4614236099999989,-3.4865972219999986,0.016264520999999976,-0.002406174000000094,-0.04643960399999997,0.04207638900000088,-0.3147736099999996,0.4459013899999995,-0.2274749999999999,0.34694444400000024,0.7576104200000007,-0.010247920000001187,-0.1898263000000356,6.964840300000006,-0.13274257799999978,0.6448680499999995,1
1081,-0.30000000000000426,-0.0010000000000000009,-2.299999999999997,0.04239999999999999,2.0,8.5,-0.10000000000000142,1.2999999999999972,1.4000000000000057,0.0035000000000000586,-3.6999999999999993,-0.01910000000000001,5.1,0.07500000000000001,1.8000000000000007,0.0272,9.899999999999991,0.009675348000000028,0.2879097220000002,1.0585902769999995,-0.03532638900000018,-0.012711507000000007,-0.07332638899999999,-0.2175972219999993,0.5181527780000001,0.1594791670000001,0.21810416600000004,0.4026111110000001,-0.004833333999999745,0.024541670000001403,-4.1699375000000005,0.02284392400000001,0.039283999999999986,0.011291332999999959,-0.32521805600000064,0.15221666200000072,2.3973875000000007,0.2394305550000002,0.933829861,4.599875690000001,0.20326806000000275,-2.1353334000000217,5.645888900000018,-0.3438177240000002,0.702680560000001,0
999,-3.299999999999997,-0.06919999999999997,-5.6999999999999975,-0.06680000000000008,2.4000000000000004,9.799999999999997,2.7,-1.5,4.100000000000001,0.029500000000000026,0.4000000000000021,-0.011399999999999966,3.700000000000001,0.09169999999999996,1.3000000000000007,0.007599999999999941,12.900000000000004,-0.06256445100000002,0.23970833299999986,1.0793680559999999,0.443875,0.0019521390000000198,0.18442361100000013,0.36963888899999997,0.04441666700000013,0.14256250000000004,0.008472221999999974,0.1358611110000001,0.3271250000000001,-0.2547499999999996,-8.658340277999999,-0.04404910399999995,0.07458490299999998,0.060117277999999996,0.4015083329999989,-0.25409097,-0.1355986100000024,0.17729583400000015,-0.1198416659999999,-1.5085465199999994,-0.2074242999999996,-6.346722299999996,7.915979100000015,-0.1671407010000001,0.3103402800000019,0
1093,1.1000000000000014,0.007500000000000007,-1.6000000000000014,-0.006599999999999939,2.7,3.6000000000000014,-2.1,2.800000000000012,0.5,-0.010699999999999987,-2.3999999999999986,-0.01760000000000006,2.9000000000000004,0.02539999999999997,-2.7,0.04910000000000003,2.799999999999997,0.02007236200000001,0.2695138889999997,0.08063888900000027,-0.4879930559999999,-0.03949215299999997,0.012770833000000259,-0.16468750000000032,0.304118055,-0.2428055559999999,-0.018159723000000016,-0.5648472230000001,-0.5424930550000002,-0.5471597199999998,0.598361111,0.03683092399999999,0.06507925000000002,-0.03904511100000002,-0.2524798609999994,0.20503888899999895,1.7473986100000012,-0.2938409719999997,0.10791874999999984,-3.1577041710000007,0.2075881899999992,9.08057639999997,5.9926597999999975,1.4640414190000002,-0.6686944399999994,0
1067,-1.1000000000000014,-0.01960000000000001,1.0,-0.029899999999999927,-2.1000000000000014,-4.400000000000002,0.6000000000000014,-3.700000000000003,5.299999999999997,0.04530000000000002,5.5,0.02110000000000001,-0.1999999999999993,0.0434,1.1999999999999993,0.03700000000000003,12.600000000000007,-0.02504321500000001,-0.22078472300000002,-0.3296736109999996,0.0968472229999997,0.00248461099999997,-0.3055486109999994,-0.06702777699999984,-0.2604097219999999,-0.22843055599999984,-0.10896527800000004,0.2863402770000003,0.19990972200000007,-0.3955069399999989,-9.404756945,-0.026387514000000056,-0.053104556000000025,0.0047863959999999706,0.7535090279999999,-0.2155319440000003,-0.8058125,-0.4432819450000001,-0.516076389,1.4453312499999988,-0.20966874999999874,-6.1603333999999705,11.805833399999983,-0.6097728679999996,-1.060340280000002,0
504,1.2999999999999972,0.0033999999999999586,0.4000000000000021,-0.035299999999999936,0.8999999999999986,-2.700000000000003,-5.6999999999999975,-2.200000000000003,1.0,0.01749999999999996,-0.6000000000000014,0.013399999999999971,1.5999999999999996,0.02609999999999996,-7.5,-0.12259999999999993,-4.700000000000003,0.0030986460000000373,0.04662500000000014,-0.5250694439999992,-0.7702638889999998,-0.12102133300000001,-0.3445208339999999,-0.3660347230000003,-0.20211111100000026,0.02824305599999999,-0.023868055,-0.15455555499999996,-0.3270902779999998,-0.7394166700000007,0.8769583330000001,-0.013418548000000086,-0.04930896499999998,-0.098761437,-0.10087569399999996,-0.1442381939999997,-0.3691013900000009,0.185119445,0.05556666599999982,-1.234044442,-0.002400699999999034,-0.44439580000000944,-2.2426457999999907,0.21663993900000025,-1.3031875,0
