,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
632,-0.0287,-17.39999999999999,5.335611111,-9.934763800000027,0.1692307689999999,1
480,-0.0046999999999999,-0.5999999999999943,1.906451389,4.998229199999983,-0.21656535,0
1042,0.0146999999999999,9.0,-8.988743056,8.519749999999988,-0.192307692,0
301,-0.0466,-11.900000000000004,-0.4028541660000001,-3.874381999999983,-0.038932147,0
278,0.0121,4.099999999999993,1.358118055,2.443937500000004,0.1641821939999999,0
1070,0.006,13.300000000000011,-8.224111111000001,2.8571458999999777,-0.4,0
379,-0.0228,0.7000000000000028,-2.3224930559999994,1.5532361000000066,-0.090725806,0
897,-0.0045,-4.399999999999992,-1.8249930560000005,-4.383611100000024,-0.3636363629999999,0
801,0.0055,9.099999999999994,-5.469493055,12.676826399999996,-0.219832736,1
764,0.0459999999999999,-2.3999999999999915,0.148729167,-2.2999306000000104,-0.0942084939999999,0
896,-0.0108,2.0999999999999943,-2.438694444,-2.097069399999995,0.1363636359999999,0
734,-0.0175,2.8999999999999915,3.730194445,0.0224791000000124,0.3665973669999999,1
22,0.0052,6.399999999999992,0.0425625000000002,6.426111199999981,0.069242487,0
310,-0.0248999999999999,-6.700000000000002,5.582840278,-8.515236099999981,0.163203463,0
979,0.0080999999999999,6.5,-10.903048612,5.535347200000004,-0.1764705879999999,1
547,0.021,-0.2999999999999972,-6.82475,4.725826399999974,-0.4179818269999999,1
1005,0.0037,-1.0999999999999943,0.914527778,4.790493000000012,0.076923077,0
720,-0.0044,-3.9000000000000057,6.27075,-0.5091318999999856,0.0519074419999999,0
266,0.0052999999999999,1.7999999999999972,2.269979166,4.883840300000003,-0.064285714,1
778,-0.0036999999999999,10.799999999999995,-3.893243056,0.8731111999999825,0.0,0
513,-0.0162999999999999,-5.0,-6.5487083340000005,-0.8635486000000014,-0.317543155,0
802,-0.0136999999999999,-7.599999999999994,-3.522166667,-3.714451400000016,-0.0862068969999999,0
1059,-0.012,2.4000000000000057,-0.236756944,-2.823465299999995,0.138888889,1
1039,0.0103999999999999,-3.799999999999997,0.966819444,3.863847200000009,-0.0681818179999999,1
69,-0.0016,-0.8999999999999915,0.6819166660000002,-0.1304653000000257,0.162697274,1
793,0.0131,-4.5,2.513805556,-1.6866874999999908,-0.249554367,1
334,0.0199,5.099999999999994,-3.036611111,8.823798699999971,-0.182900433,0
894,0.0439999999999999,7.400000000000006,-1.136673611,6.935062500000001,-0.0779220779999999,1
1089,-0.0229999999999999,-3.9000000000000057,5.4149375000000015,-8.373159700000002,0.291666667,1
1052,-0.0088,0.0,3.484736111,-2.6137083999999797,0.209090909,1
565,0.0237,7.600000000000008,-3.6265763889999993,7.480055539999995,0.0,1
260,-0.0737,-10.099999999999994,14.963618057,-19.17481950000001,-0.0441176469999999,1
235,-0.069,-5.799999999999998,8.53963194,-11.336263899999992,-0.213852813,1
757,0.0319999999999999,1.2999999999999972,-5.147555555,1.5254305999999789,0.0540935669999999,0
1098,0.0202,7.900000000000006,-5.496597222,1.6778611000000012,-0.125,0
422,0.0105,-1.9000000000000057,0.1336250000000001,-2.9093680000000006,-0.0642427549999999,1
1139,-0.0151999999999999,-5.300000000000012,6.069847222000001,-2.2114165999999784,0.6,1
127,-0.0278999999999999,-0.7000000000000028,6.526763888,-4.384076399999998,0.2179487179999999,1
71,-0.0041,7.5,-8.255770834,6.264499999999997,-0.0871212119999999,0
265,-0.0346,-9.599999999999994,5.734708333,-11.540548600000006,0.108518836,1
717,0.0272,1.4000000000000057,-5.603208333,-1.7259375000000006,-0.257894737,1
58,-0.0465,-15.399999999999991,6.26375,-11.643666699999995,-0.0013842749999999,0
1090,-0.0585,-2.5,1.077527778,-9.509090199999989,0.3333333340000001,1
582,0.0242,-4.599999999999994,5.354493056,-3.9118888999999935,0.0208083229999999,1
212,0.0053,1.7000000000000028,4.831048612,-1.6304721999999998,-0.19737343,0
748,0.0427,4.200000000000003,-1.6853541669999998,10.46836109999998,0.0730837789999999,0
619,-0.0238999999999999,6.299999999999998,1.887770833,3.459777800000012,0.1773049649999999,1
906,0.0054,-1.8000000000000114,4.9839305550000015,-2.4548611000000022,-0.084782609,0
706,-0.0035999999999999,-5.300000000000012,4.779888889,-5.307493100000016,0.1578947369999999,0
608,-0.0398,-1.7999999999999972,3.902131944,-3.4807153000000137,0.069746376,0
763,0.0128,2.0999999999999943,4.641284723000001,0.912715299999988,0.185661765,1
651,-0.0052,8.0,-4.315715278,4.105388899999966,-0.156505343,0
504,-0.0037999999999999,8.700000000000003,-4.035576389,9.03096530000002,0.092592593,1
835,-0.0652999999999999,-10.099999999999994,-2.4268819440000007,-9.184875000000003,-0.330049261,0
768,0.0283,1.7999999999999972,4.376861112,3.1658819000000165,0.1616161619999999,0
1004,-0.0505,-12.899999999999991,4.8831180550000015,-7.549277800000013,0.1748251739999999,1
724,0.0201,6.1000000000000085,-2.592506944,7.032750000000008,-0.0393939399999999,1
1093,-0.0055,0.3999999999999915,-0.621361111,0.515145899999979,0.2,0
598,0.006,6.200000000000002,0.581118056,5.171944399999988,0.0416666659999999,1
966,0.0476999999999999,18.5,-10.777055556,3.620340299999995,-0.486928104,0
466,0.0102999999999999,6.0,-1.6306736110000002,5.768013900000001,0.074933687,1
162,0.0357,15.299999999999995,-7.175000000000002,6.207722200000006,-0.40437361,0
326,-0.0291,-1.0999999999999943,6.754569444,-1.6138750000000073,0.101449275,0
486,-0.0088,5.900000000000006,-2.9047152780000003,-1.310124999999999,0.162937063,1
44,-0.0033,-7.799999999999998,1.052666667,-5.312430600000012,-0.063611491,1
509,-0.0263,-7.300000000000012,3.2931388890000006,-5.157819500000016,-0.183838384,1
393,0.0052,3.6000000000000085,0.344708333,0.5585625000000078,-0.224779319,0
1018,-0.062,-11.5,3.161652778,-13.492055499999992,0.321428571,1
414,-0.0032999999999999,1.2000000000000028,-0.959159722,1.0458402999999947,-0.2245161289999999,1
769,-0.0025,-4.200000000000003,0.5166666659999999,-7.5424721999999775,0.0107526879999999,0
477,0.0473,6.5,-7.7990625,3.7958611000000246,-0.4385714290000001,1
453,-0.0053,0.2999999999999972,-6.521437499999998,-0.3340834000000257,-0.071839081,1
502,-0.0020999999999999,1.2000000000000028,-4.3095,3.051895800000011,-0.1585858580000001,1
545,-0.0175,-0.6999999999999886,-3.159729167000002,0.0620486000000113,-0.201741654,1
1082,0.0121999999999999,1.4000000000000057,-10.289131944,2.9036320000000018,-0.111111112,1
669,0.0085999999999999,7.599999999999994,-0.929479167,4.70161809999999,0.0454545459999999,0
845,0.0394999999999999,-3.899999999999992,-0.452263889,-8.286548599999975,0.0529100519999999,0
749,-0.0159,-0.5,-0.3959166670000001,2.6071320000000067,-0.032432432,1
722,0.0249999999999999,-1.899999999999992,0.228784722,-3.943645799999985,-0.0999999999999999,0
1031,0.035,7.299999999999998,-6.0012500000000015,10.489791599999991,-0.233333333,1
931,-0.0035999999999999,-3.5999999999999943,4.8406875,-4.013187500000001,0.2263157889999999,1
589,-0.0503,-9.299999999999995,6.643333332999999,-12.9514097,-0.0093877549999999,1
798,0.0274,20.0,-5.347319445,11.199499999999986,-0.36,1
493,0.0645999999999999,9.799999999999995,-7.465222222,12.063812499999996,-0.278113208,1
279,-0.0175,-10.700000000000005,6.168902778,-5.397354199999995,-0.0175824169999999,0
207,-0.0835,-15.599999999999996,11.926666667,-16.404868100000016,0.173186344,1
